order_id,order_date,customer_id,store_id,rep_id,order_status,payment_method,order_total,created_at
ORD0000198,2024-01-19,CUST00159,STORE015,REP0014,Completed,Gift Card,3973.18,2024-01-19
ORD0000199,2024-01-19,CUST00385,STORE016,REP0004,Pending,PayPal,2779.91,2024-01-19
ORD0000200,2024-01-19,CUST00047,STORE010,REP0010,Pending,Gift Card,1549.08,2024-01-19
ORD0000201,2024-01-19,CUST00075,STORE010,REP0010,Completed,Credit Card,4469.73,2024-01-19
ORD0000202,2024-01-19,CUST00022,STORE004,REP0039,Completed,Bank Transfer,2897.07,2024-01-19
ORD0000203,2024-01-19,CUST00321,STORE003,REP0020,Pending,Gift Card,224.36,2024-01-19
ORD0000204,2024-01-19,CUST00246,STORE007,REP0014,Pending,Credit Card,3924.92,2024-01-19
ORD0000205,2024-01-19,CUST00264,STORE014,REP0025,Completed,Credit Card,3985.22,2024-01-19
ORD0000206,2024-01-19,CUST00278,STORE011,REP0040,Completed,PayPal,5510.4,2024-01-19
ORD0000207,2024-01-19,CUST00272,STORE001,REP0013,Completed,Debit Card,4393.22,2024-01-19
ORD0000208,2024-01-19,CUST00104,STORE018,REP0032,Completed,Bank Transfer,218.5,2024-01-19
ORD0000209,2024-01-19,CUST00235,STORE008,REP0002,Pending,Bank Transfer,5559.51,2024-01-19
ORD0000210,2024-01-19,CUST00244,STORE003,REP0020,Completed,Bank Transfer,5573.69,2024-01-19
ORD0000211,2024-01-19,CUST00104,STORE004,REP0018,Completed,Gift Card,1229.27,2024-01-19
ORD0000212,2024-01-19,CUST00023,STORE012,REP0007,Completed,Credit Card,6106.94,2024-01-19
ORD0000213,2024-01-19,CUST00133,STORE006,REP0001,Cancelled,Debit Card,1520.31,2024-01-19
ORD0000214,2024-01-19,CUST00250,STORE017,REP0022,Refunded,Bank Transfer,297.36,2024-01-19
ORD0000215,2024-01-19,CUST00331,STORE013,REP0029,Completed,PayPal,5192.12,2024-01-19
ORD0000216,2024-01-19,CUST00373,STORE015,REP0014,Cancelled,Bank Transfer,4253.97,2024-01-19
ORD0000217,2024-01-19,CUST00024,STORE005,REP0006,Completed,Gift Card,3313.77,2024-01-19
ORD0000218,2024-01-19,CUST00325,STORE004,REP0018,Refunded,Debit Card,1442.23,2024-01-19
ORD0000219,2024-01-19,CUST00180,STORE018,REP0032,Completed,Debit Card,2469.27,2024-01-19
ORD0000220,2024-01-19,CUST00179,STORE005,REP0006,Completed,Gift Card,2413.68,2024-01-19
ORD0000221,2024-01-19,CUST00292,STORE010,REP0010,Cancelled,PayPal,624.21,2024-01-19
ORD0000222,2024-01-19,CUST00130,STORE018,REP0032,Completed,Debit Card,632.94,2024-01-19
ORD0000223,2024-01-19,CUST00156,STORE012,REP0030,Completed,Credit Card,4247.81,2024-01-19
ORD0000224,2024-01-19,CUST00112,STORE002,REP0008,Completed,Bank Transfer,1318.3,2024-01-19
ORD0000225,2024-01-19,CUST00025,STORE003,REP0020,Refunded,Bank Transfer,8032.05,2024-01-19
ORD0000226,2024-01-19,CUST00348,STORE011,REP0040,Completed,Bank Transfer,4184.43,2024-01-19
