product_id,product_name,category,subcategory,brand,unit_cost,unit_price,created_at
PROD00001,Orbital Laptop Classic,Electronics,Laptops,Orbital,316.3,505.51,2023-08-23
PROD00002,Cascade Laptop Pro,Electronics,Laptops,Cascade,188.19,264.6,2023-08-21
PROD00003,Harbor Laptop Plus,Electronics,Laptops,Harbor,378.0,515.63,2023-05-28
PROD00004,Aster Laptop Classic,Electronics,Laptops,Aster,347.66,571.38,2023-02-28
PROD00005,Northwind Laptop Plus,Electronics,Laptops,Northwind,348.99,501.05,2022-12-17
PROD00006,Orbital Laptop Lite,Electronics,Laptops,Orbital,394.94,830.78,2022-05-27
PROD00007,Vertex Headphone Standard,Electronics,Headphones,Vertex,312.68,543.7,2022-07-01
PROD00008,Beacon Headphone Classic,Electronics,Headphones,Beacon,255.63,333.4,2022-08-03
PROD00009,Vertex Headphone Pro,Electronics,Headphones,Vertex,232.63,335.59,2022-05-13
PROD00010,Harbor Headphone Lite,Electronics,Headphones,Harbor,176.32,297.36,2023-05-04
PROD00011,Orbital Headphone Standard,Electronics,Headphones,Orbital,6.84,12.18,2023-01-18
PROD00012,Northwind Headphone Max,Electronics,Headphones,Northwind,357.34,707.95,2022-07-15
PROD00013,Northwind Smartphone Standard,Electronics,Smartphones,Northwind,252.54,384.86,2022-12-19
PROD00014,Cascade Smartphone Max,Electronics,Smartphones,Cascade,55.93,92.02,2022-11-10
PROD00015,Vertex Smartphone Classic,Electronics,Smartphones,Vertex,30.79,41.29,2023-04-12
PROD00016,Zenith Smartphone Standard,Electronics,Smartphones,Zenith,240.57,385.89,2022-05-18
PROD00017,Pioneer Camera Lite,Electronics,Cameras,Pioneer,146.9,215.88,2022-01-20
PROD00018,Lumen Camera Plus,Electronics,Cameras,Lumen,93.61,204.67,2022-01-23
PROD00019,Harbor Camera Standard,Electronics,Cameras,Harbor,204.33,288.28,2022-02-08
PROD00020,Orbital Camera Max,Electronics,Cameras,Orbital,351.23,537.46,2022-02-19
PROD00021,Harbor Camera Standard,Electronics,Cameras,Harbor,397.9,754.33,2022-01-21
PROD00022,Northwind Camera Lite,Electronics,Cameras,Northwind,277.45,464.76,2022-05-07
PROD00023,Pioneer Accessorie Standard,Electronics,Accessories,Pioneer,282.24,419.11,2022-01-10
PROD00024,Cascade Accessorie Max,Electronics,Accessories,Cascade,171.24,238.17,2022-10-04
PROD00025,Harbor Accessorie Pro,Electronics,Accessories,Harbor,244.23,347.65,2023-06-08
PROD00026,Harbor Accessorie Pro,Electronics,Accessories,Harbor,51.51,72.25,2023-05-25
PROD00027,Lumen Accessorie Max,Electronics,Accessories,Lumen,245.56,491.16,2022-07-26
PROD00028,Beacon Accessorie Pro,Electronics,Accessories,Beacon,282.86,442.91,2023-07-16
PROD00029,Lumen Chair Plus,Furniture,Chairs,Lumen,276.84,479.65,2022-01-03
PROD00030,Northwind Chair Max,Furniture,Chairs,Northwind,270.3,572.01,2023-05-21
PROD00031,Vertex Chair Pro,Furniture,Chairs,Vertex,380.03,760.66,2022-04-14
PROD00032,Cascade Chair Classic,Furniture,Chairs,Cascade,259.51,444.04,2022-09-28
PROD00033,Pioneer Chair Pro,Furniture,Chairs,Pioneer,24.78,50.35,2022-10-25
PROD00034,Beacon Chair Standard,Furniture,Chairs,Beacon,321.63,508.64,2022-04-29
PROD00035,Aster Chair Pro,Furniture,Chairs,Aster,341.24,717.03,2022-05-22
PROD00036,Beacon Desk Max,Furniture,Desks,Beacon,146.22,247.69,2022-10-02
PROD00037,Aster Desk Pro,Furniture,Desks,Aster,152.19,244.79,2023-02-15
PROD00038,Orbital Desk Lite,Furniture,Desks,Orbital,385.11,594.86,2023-05-05
PROD00039,Orbital Desk Pro,Furniture,Desks,Orbital,261.29,527.08,2022-05-16
PROD00040,Northwind Desk Pro,Furniture,Desks,Northwind,392.72,808.97,2023-03-03
PROD00041,Harbor Bookcase Lite,Furniture,Bookcases,Harbor,272.97,399.39,2023-01-03
PROD00042,Harbor Bookcase Standard,Furniture,Bookcases,Harbor,16.38,31.38,2022-05-14
PROD00043,Pioneer Bookcase Lite,Furniture,Bookcases,Pioneer,368.56,516.59,2023-03-28
PROD00044,Northwind Bookcase Pro,Furniture,Bookcases,Northwind,30.02,56.72,2023-06-22
PROD00045,Harbor Bookcase Standard,Furniture,Bookcases,Harbor,290.89,436.8,2022-12-13
PROD00046,Zenith Bookcase Pro,Furniture,Bookcases,Zenith,211.63,408.56,2023-03-20
PROD00047,Lumen Bookcase Standard,Furniture,Bookcases,Lumen,195.36,370.66,2023-01-30
PROD00048,Zenith Table Pro,Furniture,Tables,Zenith,357.36,661.7,2022-06-10
PROD00049,Zenith Table Plus,Furniture,Tables,Zenith,340.29,703.27,2022-03-18
PROD00050,Pioneer Table Classic,Furniture,Tables,Pioneer,131.65,210.35,2022-02-21
PROD00051,Zenith Table Lite,Furniture,Tables,Zenith,92.97,174.69,2022-08-29
PROD00052,Aster Table Lite,Furniture,Tables,Aster,186.34,376.62,2022-04-01
PROD00053,Pioneer Storage Standard,Furniture,Storage,Pioneer,129.84,283.39,2022-01-19
PROD00054,Aster Storage Max,Furniture,Storage,Aster,164.36,218.97,2022-01-01
PROD00055,Aster Storage Standard,Furniture,Storage,Aster,317.75,688.52,2022-11-08
