order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
ITEM00000906,ORD0000302,PROD00057,1,673.56,10,606.2
ITEM00000907,ORD0000302,PROD00106,3,53.37,0,160.11
ITEM00000908,ORD0000303,PROD00048,2,661.7,20,1058.72
ITEM00000909,ORD0000304,PROD00001,1,505.51,20,404.41
ITEM00000910,ORD0000304,PROD00008,1,333.4,10,300.06
ITEM00000911,ORD0000304,PROD00020,1,537.46,15,456.84
ITEM00000912,ORD0000304,PROD00075,4,740.14,5,2812.53
ITEM00000913,ORD0000305,PROD00054,1,218.97,15,186.12
ITEM00000914,ORD0000305,PROD00054,4,218.97,0,875.88
ITEM00000915,ORD0000305,PROD00023,3,419.11,15,1068.73
ITEM00000916,ORD0000305,PROD00025,1,347.65,15,295.5
ITEM00000917,ORD0000306,PROD00076,2,444.05,5,843.69
ITEM00000918,ORD0000306,PROD00086,2,706.05,0,1412.1
ITEM00000919,ORD0000306,PROD00021,1,754.33,0,754.33
ITEM00000920,ORD0000307,PROD00054,1,218.97,0,218.97
ITEM00000921,ORD0000307,PROD00016,1,385.89,15,328.01
ITEM00000922,ORD0000307,PROD00035,4,717.03,20,2294.5
ITEM00000923,ORD0000307,PROD00015,2,41.29,10,74.32
ITEM00000924,ORD0000308,PROD00090,1,102.93,0,102.93
ITEM00000925,ORD0000308,PROD00098,1,457.99,0,457.99
ITEM00000926,ORD0000308,PROD00114,2,549.35,15,933.89
ITEM00000927,ORD0000309,PROD00106,1,53.37,0,53.37
ITEM00000928,ORD0000310,PROD00021,2,754.33,0,1508.66
ITEM00000929,ORD0000310,PROD00010,3,297.36,5,847.48
ITEM00000930,ORD0000310,PROD00087,3,407.15,0,1221.45
ITEM00000931,ORD0000311,PROD00063,4,361.75,10,1302.3
ITEM00000932,ORD0000312,PROD00111,1,496.22,0,496.22
ITEM00000933,ORD0000312,PROD00113,2,306.91,15,521.75
ITEM00000934,ORD0000312,PROD00073,4,669.5,0,2678.0
ITEM00000935,ORD0000313,PROD00037,1,244.79,10,220.31
ITEM00000936,ORD0000313,PROD00018,4,204.67,0,818.68
ITEM00000937,ORD0000313,PROD00020,1,537.46,15,456.84
ITEM00000938,ORD0000314,PROD00029,4,479.65,15,1630.81
ITEM00000939,ORD0000314,PROD00131,3,737.86,20,1770.86
ITEM00000940,ORD0000315,PROD00045,4,436.8,15,1485.12
ITEM00000941,ORD0000315,PROD00025,4,347.65,0,1390.6
ITEM00000942,ORD0000315,PROD00083,2,279.13,0,558.26
ITEM00000943,ORD0000315,PROD00100,2,339.5,0,679.0
ITEM00000944,ORD0000316,PROD00019,1,288.28,0,288.28
ITEM00000945,ORD0000316,PROD00080,3,435.36,0,1306.08
ITEM00000946,ORD0000317,PROD00066,1,572.75,10,515.48
ITEM00000947,ORD0000317,PROD00058,1,566.95,0,566.95
ITEM00000948,ORD0000317,PROD00076,1,444.05,0,444.05
ITEM00000949,ORD0000317,PROD00034,3,508.64,0,1525.92
ITEM00000950,ORD0000318,PROD00095,3,300.24,0,900.72
ITEM00000951,ORD0000318,PROD00029,2,479.65,20,767.44
ITEM00000952,ORD0000318,PROD00043,3,516.59,20,1239.82
ITEM00000953,ORD0000319,PROD00099,3,313.86,0,941.58
ITEM00000954,ORD0000319,PROD00121,3,64.54,20,154.9
ITEM00000955,ORD0000320,PROD00073,1,669.5,5,636.02
ITEM00000956,ORD0000320,PROD00113,4,306.91,0,1227.64
ITEM00000957,ORD0000321,PROD00031,4,760.66,5,2890.51
ITEM00000958,ORD0000321,PROD00045,2,436.8,5,829.92
ITEM00000959,ORD0000321,PROD00113,1,306.91,0,306.91
ITEM00000960,ORD0000321,PROD00049,1,703.27,0,703.27
ITEM00000961,ORD0000322,PROD00019,2,288.28,5,547.73
ITEM00000962,ORD0000323,PROD00015,2,41.29,10,74.32
ITEM00000963,ORD0000323,PROD00044,3,56.72,0,170.16
ITEM00000964,ORD0000323,PROD00026,1,72.25,5,68.64
ITEM00000965,ORD0000323,PROD00068,4,741.36,5,2817.17
ITEM00000966,ORD0000323,PROD00034,1,508.64,20,406.91
ITEM00000967,ORD0000324,PROD00018,1,204.67,15,173.97
ITEM00000968,ORD0000324,PROD00122,4,506.96,0,2027.84
ITEM00000969,ORD0000324,PROD00047,1,370.66,15,315.06
ITEM00000970,ORD0000325,PROD00128,2,304.82,15,518.19
ITEM00000971,ORD0000325,PROD00094,2,422.89,5,803.49
ITEM00000972,ORD0000326,PROD00059,1,99.25,10,89.33
ITEM00000973,ORD0000326,PROD00118,1,749.49,5,712.02
ITEM00000974,ORD0000327,PROD00081,2,646.71,0,1293.42
ITEM00000975,ORD0000327,PROD00103,1,164.74,15,140.03
ITEM00000976,ORD0000327,PROD00043,1,516.59,0,516.59
ITEM00000977,ORD0000328,PROD00055,2,688.52,0,1377.04
ITEM00000978,ORD0000328,PROD00121,2,64.54,0,129.08
ITEM00000979,ORD0000328,PROD00117,3,635.18,0,1905.54
ITEM00000980,ORD0000328,PROD00083,1,279.13,5,265.17
ITEM00000981,ORD0000329,PROD00096,2,212.37,0,424.74
ITEM00000982,ORD0000329,PROD00001,2,505.51,10,909.92
ITEM00000983,ORD0000329,PROD00067,4,288.21,5,1095.2
ITEM00000984,ORD0000329,PROD00099,2,313.86,0,627.72
ITEM00000985,ORD0000329,PROD00062,1,648.8,0,648.8
ITEM00000986,ORD0000330,PROD00043,2,516.59,5,981.52
ITEM00000987,ORD0000331,PROD00039,3,527.08,15,1344.05
ITEM00000988,ORD0000331,PROD00105,1,431.54,0,431.54
ITEM00000989,ORD0000332,PROD00036,4,247.69,0,990.76
ITEM00000990,ORD0000332,PROD00097,3,813.81,20,1953.14
